"bpmag-Gmag","bpmag-rpmag","bpmag-Jmag","bpmag-Hmag","bpmag-Kmag","Gmag-rpmag","Gmag-Jmag","Gmag-Hmag","Gmag-Kmag","rpmag-Jmag","rpmag-Hmag","rpmag-Kmag","Jmag-Hmag","Jmag-Kmag","Hmag-Kmag","class"
0.5896,1.3648,2.8168,3.7998,4.7358,0.7752,2.2272,3.2102,4.1462,1.452,2.435,3.371,0.983,1.919,0.936,"B"
0.233,0.595,0.9968,1.0578,1.1988,0.362,0.7638,0.8248,0.9658,0.4018,0.4628,0.6038,0.061,0.202,0.141,"B"
0.1674,0.4707,0.8291,0.8921,0.9511,0.3033,0.6618,0.7248,0.7838,0.3584,0.4214,0.4804,0.063,0.122,0.059,"B"
0.1855,0.4644,0.8023,0.8593,0.9223,0.2789,0.6168,0.6738,0.7368,0.3379,0.3949,0.4579,0.057,0.12,0.063,"B"
0.528,1.2522,2.0787,2.3767,2.6957,0.7242,1.5507,1.8487,2.1677,0.8265,1.1245,1.4435,0.298,0.617,0.319,"B"
0.2108,0.5557,0.9491,1.0211,1.0851,0.3448,0.7382,0.8102,0.8742,0.3934,0.4654,0.5294,0.072,0.136,0.064,"B"
0.0984,0.2781,0.5071,0.5291,0.5841,0.1797,0.4087,0.4307,0.4857,0.229,0.251,0.306,0.022,0.077,0.055,"B"
0.3218,0.7895,1.6139,1.8139,1.9679,0.4677,1.2921,1.4921,1.6461,0.8244,1.0244,1.1784,0.2,0.354,0.154,"B"
0.0832,0.2622,0.409,0.469,0.63,0.179,0.3258,0.3858,0.5468,0.1468,0.2068,0.3678,0.06,0.221,0.161,"B"
-0.0472,-0.1523,0.243,0.308,0.502,-0.1051,0.2902,0.3552,0.5492,0.3953,0.4603,0.6543,0.065,0.259,0.194,"B"
0.4912,1.1729,2.1609,2.3819,2.6369,0.6817,1.6697,1.8907,2.1457,0.988,1.209,1.464,0.221,0.476,0.255,"B"
0.6713,1.4933,2.5928,2.9168,3.2088,0.822,1.9215,2.2455,2.5375,1.0995,1.4235,1.7155,0.324,0.616,0.292,"B"
0.2639,0.723,1.2793,1.4313,1.6143,0.4591,1.0154,1.1674,1.3504,0.5563,0.7083,0.8913,0.152,0.335,0.183,"B"
0.2324,0.6074,1.2633,1.5003,1.7773,0.375,1.0309,1.2679,1.5449,0.6559,0.8929,1.1699,0.237,0.514,0.277,"B"
0.388,0.9411,1.7911,1.9901,2.2261,0.5531,1.4031,1.6021,1.8381,0.85,1.049,1.285,0.199,0.435,0.236,"B"
0.59,1.3417,2.3326,2.6046,2.7106,0.7517,1.7425,2.0145,2.1205,0.9909,1.2629,1.3689,0.272,0.378,0.106,"B"
0.0372,0.12,0.2695,0.3005,0.4775,0.0828,0.2323,0.2633,0.4403,0.1495,0.1805,0.3575,0.031,0.208,0.177,"B"
0.1164,0.3405,0.6779,0.8029,0.9219,0.2241,0.5615,0.6865,0.8055,0.3374,0.4624,0.5814,0.125,0.244,0.119,"B"
0.5245,1.2278,2.1261,2.2951,2.5301,0.7032,1.6016,1.7706,2.0056,0.8984,1.0674,1.3024,0.169,0.404,0.235,"B"
1.0986,2.1737,3.9383,4.5233,5.0173,1.075,2.8397,3.4247,3.9187,1.7647,2.3497,2.8437,0.585,1.079,0.494,"B"
0.5695,1.3039,2.2248,2.5318,2.6888,0.7343,1.6553,1.9623,2.1193,0.921,1.228,1.385,0.307,0.464,0.157,"B"
0.5421,1.2655,2.3591,2.6541,2.8971,0.7234,1.817,2.112,2.355,1.0936,1.3886,1.6316,0.295,0.538,0.243,"B"
0.8353,1.7747,3.0067,3.5517,3.8707,0.9394,2.1715,2.7165,3.0355,1.232,1.777,2.096,0.545,0.864,0.319,"B"
0.5577,1.3044,2.3536,2.6926,2.8846,0.7467,1.7959,2.1349,2.3269,1.0492,1.3882,1.5802,0.339,0.531,0.192,"B"
-0.0367,-0.1606,-0.0995,-0.1545,-0.0445,-0.1239,-0.0629,-0.1179,-0.0079,0.0611,0.0061,0.1161,-0.055,0.055,0.11,"B"
-0.0842,-0.0399,-0.165,-0.019,0.214,0.0442,-0.0808,0.0652,0.2982,-0.1251,0.0209,0.2539,0.146,0.379,0.233,"B"
0.2623,0.6607,1.2949,1.4409,1.6369,0.3983,1.0326,1.1786,1.3746,0.6342,0.7802,0.9762,0.146,0.342,0.196,"B"
0.1499,0.4202,0.8586,0.9476,1.0526,0.2703,0.7086,0.7976,0.9026,0.4384,0.5274,0.6324,0.089,0.194,0.105,"B"
0.4158,1.0413,1.7552,1.9932,2.1062,0.6255,1.3394,1.5774,1.6904,0.7139,0.9519,1.0649,0.238,0.351,0.113,"B"
0.4433,1.1089,2.094,2.347,2.468,0.6656,1.6508,1.9038,2.0248,0.9852,1.2382,1.3592,0.253,0.374,0.121,"B"
0.1922,0.4937,0.8953,0.9773,1.0773,0.3015,0.7031,0.7851,0.8851,0.4016,0.4836,0.5836,0.082,0.182,0.1,"B"
0.0814,0.2217,0.4284,0.4114,0.4444,0.1402,0.3469,0.3299,0.3629,0.2067,0.1897,0.2227,-0.017,0.016,0.033,"B"
0.1785,0.4791,0.5831,0.7891,1.1071,0.3006,0.4046,0.6106,0.9286,0.104,0.31,0.628,0.206,0.524,0.318,"B"
0.1828,0.5073,0.8435,1.0195,1.3185,0.3245,0.6607,0.8367,1.1357,0.3361,0.5121,0.8111,0.176,0.475,0.299,"B"
-0.019,0.4292,1.0128,0.8808,1.0488,0.4483,1.0318,0.8998,1.0678,0.5835,0.4515,0.6195,-0.132,0.036,0.168,"B"
-0.0029,-0.0345,-0.0416,-0.1046,-0.0106,-0.0315,-0.0387,-0.1017,-0.0077,-0.0072,-0.0702,0.0238,-0.063,0.031,0.094,"B"
0.158,0.4129,0.7425,0.7865,0.8045,0.2549,0.5845,0.6285,0.6465,0.3296,0.3736,0.3916,0.044,0.062,0.018,"B"
0.3341,0.8423,1.5465,1.7755,2.0165,0.5082,1.2124,1.4414,1.6824,0.7042,0.9332,1.1742,0.229,0.47,0.241,"B"
0.1188,0.331,0.7096,0.8066,0.9876,0.2122,0.5908,0.6878,0.8688,0.3786,0.4756,0.6566,0.097,0.278,0.181,"B"
0.0246,0.0845,0.1857,0.2427,0.2837,0.0599,0.1611,0.2181,0.2591,0.1012,0.1582,0.1992,0.057,0.098,0.041,"B"
-0.0217,-0.0921,-0.1648,-0.1848,-0.1588,-0.0704,-0.1431,-0.1631,-0.1371,-0.0727,-0.0927,-0.0667,-0.02,0.006,0.026,"B"
0.0383,0.1194,-0.1212,-0.1102,0.0088,0.0811,-0.1595,-0.1485,-0.0295,-0.2407,-0.2297,-0.1107,0.011,0.13,0.119,"B"
0.7044,1.4987,2.7736,3.1846,3.4966,0.7943,2.0691,2.4801,2.7921,1.2749,1.6859,1.9979,0.411,0.723,0.312,"B"
0.1462,0.3818,0.7105,0.7275,0.7565,0.2357,0.5643,0.5813,0.6103,0.3287,0.3457,0.3747,0.017,0.046,0.029,"B"
0.3321,0.8517,1.5662,1.7652,1.8972,0.5196,1.2341,1.4331,1.5651,0.7145,0.9135,1.0455,0.199,0.331,0.132,"B"
0.315,0.8293,1.4597,1.7087,1.7247,0.5143,1.1447,1.3937,1.4097,0.6304,0.8794,0.8954,0.249,0.265,0.016,"B"
0.4678,1.1282,2.011,2.271,2.437,0.6603,1.5431,1.8031,1.9691,0.8828,1.1428,1.3088,0.26,0.426,0.166,"B"
0.0159,0.0227,0.0847,0.0327,0.0597,0.0068,0.0688,0.0168,0.0438,0.0619,0.0099,0.0369,-0.052,-0.025,0.027,"B"
0.2602,0.6712,1.1173,1.3233,1.6293,0.411,0.8571,1.0631,1.3691,0.4461,0.6521,0.9581,0.206,0.512,0.306,"B"
0.1219,0.3534,0.6535,0.7775,1.0515,0.2315,0.5316,0.6556,0.9296,0.3001,0.4241,0.6981,0.124,0.398,0.274,"B"
-0.046,0.0539,-0.1292,0.0188,0.2218,0.0999,-0.0832,0.0648,0.2678,-0.1831,-0.0351,0.1679,0.148,0.351,0.203,"B"
-0.0178,-0.0828,-0.2383,-0.2753,-0.3533,-0.065,-0.2205,-0.2575,-0.3355,-0.1555,-0.1925,-0.2705,-0.037,-0.115,-0.078,"B"
-0.026,-0.0899,-0.1131,-0.1871,-0.1561,-0.0639,-0.0871,-0.1611,-0.1301,-0.0232,-0.0972,-0.0662,-0.074,-0.043,0.031,"B"
-0.0647,-0.2376,-0.4149,-0.5159,-0.5699,-0.173,-0.3502,-0.4512,-0.5052,-0.1773,-0.2783,-0.3323,-0.101,-0.155,-0.054,"B"
0.0311,0.0943,0.0609,0.0669,0.0839,0.0633,0.0298,0.0358,0.0528,-0.0335,-0.0275,-0.0105,0.006,0.023,0.017,"B"
0.1997,0.5395,0.9415,1.0695,1.3655,0.3397,0.7418,0.8698,1.1658,0.402,0.53,0.826,0.128,0.424,0.296,"B"
0.0161,0.044,0.086,0.103,0.084,0.0279,0.0699,0.0869,0.0679,0.0419,0.0589,0.0399,0.017,-0.002,-0.019,"B"
0.1877,0.5133,1.493,1.684,1.916,0.3256,1.3053,1.4963,1.7283,0.9796,1.1706,1.4026,0.191,0.423,0.232,"B"
0.2597,0.6703,1.2603,1.4763,1.6993,0.4106,1.0006,1.2166,1.4396,0.59,0.806,1.029,0.216,0.439,0.223,"B"
0.1965,0.5247,0.92,0.969,1.042,0.3281,0.7235,0.7725,0.8455,0.3953,0.4443,0.5173,0.049,0.122,0.073,"B"
0.7299,1.599,2.9001,3.2901,3.4661,0.8691,2.1703,2.5603,2.7363,1.3012,1.6912,1.8672,0.39,0.566,0.176,"B"
